category_id,drug_N,품목기준코드,제품명,제조/수입사,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약을 사용하기 전에 반드시 알아야 할 내용은 무엇입니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?,Unnamed: 12
1,K-000069,196500051,타이밍정,지엘파마(주),이 약은 졸음에 사용합니다.,"성인은 1회 2~6정(100~300 mg)씩, 1일 1~3회 복용합니다. 연령, 증상에 따라 적절히 증감할 수 있습니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 위궤양 환자 또는 경험자, 심질환, 녹내장 환자는 의사 또는 약사와 상의하십시오.",,만성 녹내장을 악화시킬 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
2,K-000112,197000037,아로나민골드정,일동제약(주),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다.",,"이 약에 과민증 환자, 만 3개월 미만의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 통풍 또는 신장결석, 폴산이 부족한 환자, 혈전성 소인이 있는 환자, 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",레보도파와 함께 복용하지 마십시오. 에스트로겐을 포함한 경구용 피임제와 함께 복용 시 의사 또는 약사와 상의하십시오.,"위부불쾌감, 설사, 변비, 발진, 발적, 구역, 구토, 묽은 변, 구내염(입안염), 식욕부진, 복부팽만감, 생리가 예정보다 빨라지거나 양이 점점 많아질 수 있으며, 출혈이 오래 지속되는 증상이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
3,K-000121,197000076,보나링에이정,일양약품(주),"이 약은 멀미·메니에르증후군·방사선숙취에 의한 구역·구토·어지러움, 수술후 구역·구토에 사용합니다.","성인은 1회 1정(50 mg) 1일 3~4회 복용합니다. 예방목적으로는 30분~1시간전에 1~2정(50~100 mg)을 복용합니다. 윈칙적으로 1일 4정(200 mg)을 초과하지 않습니다. 연령, 증상에 따라 적절히 증감합니다.",,"이 약 또는 염산메클리진, 염산부클리진에 과민증 환자, 전립선(전립샘)비대 등 배뇨(소변을 눔)장애, 협우각형 녹내장, 간질, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소아, 갑상선기능항진증 또는 급성 신염(신장염), 마취시행전 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자는 의사 또는 약사와 상의하십시오. 이 약 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","바르비탈계 약물, 마취제 등의 중추신경억제제, 아미노글리코사이드계 항생물질(스트렙토마이신, 카나마이신 등), 아트로핀 및 아트로핀계 약물을 함께 사용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오.","발진, 광과민증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 졸음, 두통, 두중감(머리무거움), 수족(발)마비, 손가락진전(떨림), 어지러움, 시력 불선명 등의 시각장애, 불면, 지각이상, 때때로 가슴쓰림, 위통, 배뇨(소변을 눔)장애, 구갈, 피로감이 나타날 수 있습니다.",실온에서 보관하십시오.,
4,K-000147,197100081,키모랄에스정,에이프로젠제약(주),"이 약은 수술 및 외상후, 유즙울체의 염증성 부종의 완화에 사용합니다.","성인은 첫날 1회 2정 1일 4회, 이후 유지량으로 1회 1정 1일 4회 복용합니다. 체내에서의 작용기전은 아직 해명되지 않은 점이 많고 용량, 효과관계도 밝혀진 것이 아니므로 목적 없이 투여하지 않습니다.",,"이 약은 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 혈액응고이상 환자, 심한 간장애 또는 신장애, 임 및 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오.",항응고제를 함께 사용 시 의사 또는 약사와 상의하십시오.,"발진, 발적, 설사, 변비, 때때로 식욕부진, 배가 거북함, 구역, 구토, 드물게 코피, 혈액가래 등의 출혈 경향이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
5,K-000250,197400246,마그밀정,삼남제약(주),"이 약은 위·십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용합니다.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 2~5정(1~2.5 g)을 수회(여러 차례) 분할 복용, 변비증에는 1일 2~4정(1~2 g)을 1~2회 분할 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"신장애, 설사 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 심기능 장애, 고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.","테트라사이클린계 항생물질을 함께 복용하지 마십시오. 다량의 우유, 칼슘제제와 함께 복용 시 우유 알칼리 증후군(고칼슘혈증, 고질소혈증, 알칼리증 등)이 나타날 수 있으므로 의사 또는 약사와 상의하십시오.","마그네슘 중독증상, 때때로 설사 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
6,K-000272,197500016,낙센정,(주)종근당,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(삠, 타박상, 상처, 허리통증), 수술후 통증, 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(250~500 mg) 1일 2회(12시간마다), 급성통풍에 성인은 초회량(처음 복용량)으로 3정(750 mg) 복용하고 발작이 없어질 때까지 8시간 간격으로 1정(250 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에 성인은 초회량(처음 복용량)으로 2정(500 mg)을 복용한 후 6~8시간 간격으로 1정(250 mg)씩 복용하고 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다. 편두통에 성인은 초회량(처음 복용량)으로 3정(750 mg)을 복용하고 필요하면 1일 1~2정(250-500 mg)을 더 투여할 수 있으며 초회량(처음 복용량)의 투여 30분 후에 투여합니다. 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다.",,"이 약 또는 아스피린 등 비스테로이드성 소염진통제에 과민증, 다른 비스테로이드성 소염진통제(COX-2 억제제 포함)에 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장장애, 심한 고혈압, 심장동맥 우회로술 전후에 발생하는 통증의 치료에 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소화성궤양 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자 및 신혈류량이 저하된 환자, 심기능장애, 고혈압, 전신성홍반성루푸스 환자 및 혼합결합조직질환 환자, 고령자 및 2세 이하의 영아는 의사 또는 약사와 상담하십시오.","다른 비스테로이드성 소염진통제, 아스피린, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","드물게 쇽증상(호흡곤란, 혈압강하, 서맥(느린 맥), 식은땀, 부종(부기) 등), PIE증후군(호산구증가를 수반하는 폐침윤 : 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 드물게 혈액구토, 위장출혈, 소화성궤양, 천공(뚫림), 위부불쾌감, 위통, 배아픔, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 구내염(입안염) 배부분팽만감, 흑변, 구갈, 드물게 무과립구증, 호산구증다, 백혈구감소, 혈소판감소, 재생불량성빈혈, 용혈성(적혈구파괴성)빈혈, 혈소판 기능저하(출혈시간의 연장) 등의 혈액장애, GOT, GPT치의 상승, 황달, 간염, 신장장애, 사구체신염, 혈뇨, 고칼륨 혈증, 간질성신염, 신증후군, 신장유두괴사, 단백뇨, 신부전, 드물게 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애 등), 때때로 졸음, 인식기능장애 드물게 어지러움, 두통, 수족저림, 정력감퇴, 피로, 우울, 비정상적인 꿈, 집중능력 상실, 방향감각장애, 불면, 근육통, 근쇠약, 때때로 습진, 땀이 남, 자주색 반점, 드물게 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 여러 모양의 붉은 반점, 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 드물게 두근거림, 근육무력), 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 증세가 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",암소에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
7,K-000364,197600345,페리나정,삼진제약(주),"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.",성인은 1회 1정 1일 3회 매 식후에 복용합니다.,급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오.,"이 약에 과민증 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 7세 이하의 소아, 천식, 녹내장, 고혈압, 심질환, 관상동맥(심장동맥)질환, 당뇨병, 갑상선기능항진증, 전립선(전립샘) 비대로 인한 배뇨(소변을 눔)장애 환자는 의사 또는 약사와 상의하십시오. 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.",이 약을 복용 중에는 알코올성 음료를 피하십시오.,"급성전신발진고름물집증, 발열, 홍반, 다수의 작은 농포, 허혈성 대장염(급격한 복통, 직장 출혈 등)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 졸음, 일과성(한번 나타나고 없어지는) 자극통, 구갈(목마름), 구역, 불안, 발한(땀이 남) 및 약간의 혈압강하, 흥분(특히 소아) 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
8,K-000372,197600539,세가톤트로키,알파제약(주),"이 약은 인두염, 편도염, 구내염에 의한 염증 완화에 사용합니다.","성인은 1회 1정(1.5 mg)씩 1일 4~5회 씹거나 삼키지 말고 입안에서 천천히 녹여 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"3세 이하의 영ㆍ유아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기성 접촉성 습진 환자, 황색4호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오. 씹거나 삼키지 말고 침으로 천천히 녹여 복용하며 이 약이 장시간 입안에 머물도록 가능한 한 오래 입안에 물고 있으십시오.",,"발진, 구강점막의 과민반응(두드러기, 미란, 드물게 구강 및 인두의 작열감) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 고열, 두통, 구역 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
9,K-000479,197800242,일양노이시린에이정,일양약품(주),이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.,"성인은 1회 1~2정(0.5~1 g), 1일 3~4회 공복시에 복용합니다. 연령 또는 증상에 따라 적절히 증감합니다.",,"이 약을 복용하기 전에 간장애, 심기능장애, 고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.",테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.,"때때로 설사, 구역, 구토, 변비 구갈, 가려움증 등이 나타날 수 있습니다.",,
10,K-000573,197900277,게보린정,삼진제약(주),"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통과 오한(춥고 떨리는 증상), 발열시의 해열에 사용합니다.",성인은 1회 1정 1일 3회까지 공복시를 피해 복용합니다. 복용간격은 4시간 이상으로 합니다. 이 약은 원칙적으로 단기간 복용합니다.,"매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 다른 해열진통제(비스테로이드성 소염제), 감기약 복용시 천식발작 유발 또는 그 경험자, 글루코스-6-인산 탈수소효소결핍증, 급성 간헐성(시간 간격을 두고 되풀이하여) 포르피린증, 과립백혈구감소증, 중증 간장애, 중증 신장애, 출혈 소인, 15세 미만의 소아, 소화성궤양, 심한 혈액 이상, 심한 심장기능저하, 바르비탈계 약물, 삼환계 항우울제, 알코올을 복용한 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 15세 이상의 청소년, 갑상샘질환, 당뇨병, 고혈압, 몸이 약한 사람, 고열, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되는 사람, 간장애, 신장(콩팥)장애, 소화성궤양, 혈액이상, 출혈경향이 있는 환자, 심장기능이상, 기관지천식 환자는 의사 또는 약사와 상의하십시오.","바르비탈계 약물, 삼환계 항우울제, 다른 소염(항염)진통제, 다른 해열진통제, 아세트아미노펜을 포함하는 다른 제품, 알코올과 함께 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 와파린, 리튬, 티아지드계 이뇨제를 복용한 환자는 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판 감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공(뚫림), 발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 수반하며 발진, 발적 충혈되어 붉어짐, 화상모양 수포 등의 격렬한 증상이 전신피부, 입 및 눈의 점막에 나타난 경우), 전신의 나른함, 황달, 간질성폐렴(기침, 숨이참, 호흡곤란, 발열), 간기능이상, 고정발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
