category_id,drug_N,제품명,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?
1,K-000069,타이밍정,졸음에 사용.,"성인은 1회 2~6정씩, 1일 1~3회 복용. 연령, 증상에 따라 적절히 증감할 수 있습니다."
2,K-000112,아로나민골드정,"육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시, 노년기의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통 증상의 완화, 각기, 눈의 피로에 사용.","성인은 1회 1정씩, 1일 2회 복용."
3,K-000121,보나링에이정,"멀미·메니에르증후군·방사선숙취에 의한 구역·구토·어지러움, 수술후 구역·구토에 사용.","성인은 1회 1정 1일 3~4회 복용. 예방목적으로는 30분~1시간전에 1~2정을 복용. 윈칙적으로 1일 4정을 초과하지 않습니다. 연령, 증상에 따라 적절히 증감."
4,K-000147,키모랄에스정,"수술 및 외상후, 유즙울체의 염증성 부종의 완화에 사용.","성인은 첫날 1회 2정 1일 4회, 이후 유지량으로 1회 1정 1일 4회 복용. 체내에서의 작용기전은 아직 해명되지 않은 점이 많고 용량, 효과관계도 밝혀진 것이 아니므로 목적 없이 투여하지 않습니다."
5,K-000250,마그밀정,"위·십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 2~5정을 수회 분할 복용, 변비증에는 1일 2~4정을 1~2회 분할 복용. 연령, 증상에 따라 적절히 증감."
6,K-000272,낙센정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 수술후 통증, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정 1일 2회, 급성통풍에 성인은 초회량으로 3정 복용하고 발작이 없어질 때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에 성인은 초회량으로 2정을 복용한 후 6~8시간 간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에 성인은 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 투여할 수 있으며 초회량의 투여 30분 후에 투여. 1일 총용량이 5정을 초과하지 않도록 ."
7,K-000364,페리나정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 1회 1정 1일 3회 매 식후에 복용.
8,K-000372,세가톤트로키,"인두염, 편도염, 구내염에 의한 염증 완화에 사용.","성인은 1회 1정씩 1일 4~5회 씹거나 삼키지 말고 입안에서 천천히 녹여 복용. 연령, 증상에 따라 적절히 증감."
9,K-000479,일양노이시린에이정,위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용.,"성인은 1회 1~2정, 1일 3~4회 공복시에 복용. 연령 또는 증상에 따라 적절히 증감."
10,K-000573,게보린정,"두통, 치통, 발치후 동통, 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통, 타박통, 골절통, 염좌통, 월경통, 외상통의 진통과 오한, 발열시의 해열에 사용.",성인은 1회 1정 1일 3회까지 공복시를 피해 복용. 복용간격은 4시간 이상으로 . 이 약은 원칙적으로 단기간 복용.
11,K-000746,우루사정,"담즙분비 부전으로 오는 간질환, 담도, 담낭)계 질환의 보조 치료와 만성 간질환의 간기능 개선과 소장절제 후유증 및 염증성 소장 질환의 소화불량에 사용.",성인은 1회 0.5~1정 1일 3회 복용.
